profile_id,university_id,applied,applied_date,admitted,admitted_date,rejected,rejected_date,created_at,updated_at,term,year
62,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
63,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
64,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
65,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
66,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
67,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
68,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
69,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
70,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
71,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
72,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
73,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
74,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
75,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
76,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
77,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
78,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
79,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
80,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
81,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
82,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
83,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
84,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
85,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
86,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
87,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
88,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
89,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
90,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
91,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
92,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
93,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
94,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
95,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
96,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
97,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
98,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
99,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
100,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
101,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
102,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
103,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
104,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
105,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
106,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
107,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
108,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
109,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
110,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
111,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
112,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
113,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
114,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
115,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
116,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
117,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
118,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
119,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
120,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
121,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
122,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
123,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
124,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
125,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
126,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
127,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
128,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
129,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
130,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
131,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
132,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
133,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
134,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
135,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
136,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
137,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
138,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
139,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
140,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
141,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
142,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
143,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
144,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
145,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
146,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
147,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
148,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
149,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
150,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
151,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
152,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
153,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
154,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
155,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
156,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
157,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
158,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
159,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
160,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
161,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
162,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
163,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
164,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
165,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
166,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
167,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
168,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
169,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
170,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
171,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
172,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
173,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
174,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
175,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
176,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
177,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
178,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
179,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
180,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
181,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
182,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
183,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
184,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
185,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
186,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
187,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
188,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
189,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
190,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
191,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
192,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
193,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
194,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
195,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
196,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
197,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
198,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
199,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
200,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
201,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
202,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
203,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
204,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
205,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
206,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
207,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
208,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
209,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
210,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
211,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
212,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
213,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
214,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
215,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
216,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
217,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
218,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
219,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
220,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
221,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
222,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
223,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
224,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
225,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
226,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
227,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
228,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
229,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
230,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
231,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
232,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
233,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
234,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
235,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
236,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
237,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
238,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
239,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
240,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
241,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
242,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
243,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
244,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
245,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
246,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
247,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
248,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
249,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
250,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
251,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
252,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
253,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
254,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
255,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
256,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
257,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
258,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
259,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
260,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
261,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
262,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
263,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
264,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
265,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
266,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
267,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
268,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
269,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
270,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
271,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
272,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
273,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
274,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
275,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
276,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
277,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
278,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
279,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
280,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
281,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
282,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
283,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
284,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
285,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
286,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
287,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
288,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
289,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
290,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
291,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
292,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
293,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
294,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
295,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
296,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
297,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
298,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
299,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
300,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
301,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
302,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
303,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
304,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
305,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
306,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
307,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
308,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
309,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
310,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
311,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
312,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
313,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
314,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
315,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
316,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
317,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
318,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
319,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
320,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
321,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
322,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
323,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
324,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
325,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
326,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
327,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
328,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
329,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
330,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
331,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
332,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
333,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
334,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
335,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
336,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
337,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
338,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
339,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
340,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
341,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
342,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
343,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
344,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
345,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
346,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
347,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
348,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
349,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
350,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
351,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
352,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
353,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
354,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
355,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
356,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
357,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
358,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
359,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
360,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
361,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
362,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
363,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
364,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
365,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
366,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
367,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
368,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
369,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
370,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
371,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
372,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
373,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
374,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
375,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
376,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
377,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
378,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
379,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
380,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
381,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
382,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
383,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
384,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
385,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
386,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
387,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
388,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
389,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
390,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
391,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
392,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
393,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
394,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
395,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
396,1,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
397,1,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
